Count of Ordre de travail,Year,Month,Day,Earliest Date
5,2019,January,1,2019-01-01 00:00:00
2,2019,January,2,2019-01-02 00:00:00
3,2019,January,3,2019-01-03 00:00:00
5,2019,January,4,2019-01-04 00:00:00
2,2019,January,5,2019-01-05 00:00:00
3,2019,January,6,2019-01-06 00:00:00
3,2019,January,7,2019-01-07 00:00:00
6,2019,January,8,2019-01-08 00:00:00
5,2019,January,9,2019-01-09 00:00:00
4,2019,January,10,2019-01-10 00:00:00
1,2019,January,11,2019-01-11 00:00:00
1,2019,January,12,2019-01-12 00:00:00
4,2019,January,13,2019-01-13 00:00:00
1,2019,January,14,2019-01-14 00:00:00
4,2019,January,15,2019-01-15 00:00:00
4,2019,January,16,2019-01-16 00:00:00
2,2019,January,17,2019-01-17 00:00:00
1,2019,January,18,2019-01-18 00:00:00
2,2019,January,19,2019-01-19 00:00:00
5,2019,January,20,2019-01-20 00:00:00
6,2019,January,21,2019-01-21 00:00:00
3,2019,January,22,2019-01-22 00:00:00
3,2019,January,23,2019-01-23 00:00:00
2,2019,January,24,2019-01-24 00:00:00
2,2019,January,25,2019-01-25 00:00:00
3,2019,January,27,2019-01-27 00:00:00
2,2019,January,28,2019-01-28 00:00:00
2,2019,January,29,2019-01-29 00:00:00
4,2019,January,30,2019-01-30 00:00:00
4,2019,January,31,2019-01-31 00:00:00
5,2019,February,1,2019-02-01 00:00:00
3,2019,February,2,2019-02-02 00:00:00
2,2019,February,3,2019-02-03 00:00:00
1,2019,February,4,2019-02-04 00:00:00
3,2019,February,5,2019-02-05 00:00:00
3,2019,February,7,2019-02-07 00:00:00
1,2019,February,8,2019-02-08 00:00:00
3,2019,February,9,2019-02-09 00:00:00
1,2019,February,10,2019-02-10 00:00:00
6,2019,February,11,2019-02-11 00:00:00
7,2019,February,12,2019-02-12 00:00:00
2,2019,February,13,2019-02-13 00:00:00
2,2019,February,14,2019-02-14 00:00:00
2,2019,February,15,2019-02-15 00:00:00
2,2019,February,16,2019-02-16 00:00:00
5,2019,February,17,2019-02-17 00:00:00
3,2019,February,18,2019-02-18 00:00:00
2,2019,February,19,2019-02-19 00:00:00
7,2019,February,20,2019-02-20 00:00:00
3,2019,February,21,2019-02-21 00:00:00
1,2019,February,22,2019-02-22 00:00:00
2,2019,February,23,2019-02-23 00:00:00
5,2019,February,24,2019-02-24 00:00:00
2,2019,February,25,2019-02-25 00:00:00
1,2019,February,26,2019-02-26 00:00:00
3,2019,February,27,2019-02-27 00:00:00
4,2019,February,28,2019-02-28 00:00:00
3,2019,March,1,2019-03-01 00:00:00
1,2019,March,2,2019-03-02 00:00:00
4,2019,March,3,2019-03-03 00:00:00
1,2019,March,4,2019-03-04 00:00:00
5,2019,March,5,2019-03-05 00:00:00
