Ordre de travail;Staut Ordre de travail;Service;Description;Equipment;Nom Equipement;date enregistrement;Noeud Parent;Nom_parent;Classification Equipement;Date début;Date Fin;Modèle OT;Type OT
OT000001;clôturé;ECP BEURRE;;GCULZ201;Production  Beurre creme fraiche;;GCULZ2;Zone 2;Mec;03/01/2019;03/01/2019;;correctif planifié
OT000002;clôturé;ECP UHT;;GCULZ103;Production  UHT;;GCULZ1;Zone 1;Mec;02/01/2019;02/01/2019;;correctif planifié
OT000003;en cours INV;Poste URA;;ULPRPH0104;TBA/8;;ULPRPH01;UHT A;Mec;03/01/2019;03/01/2019;;correctif planifié
OT000011;en cours INV;Fuite huile machoire droite;;ULPRPH0104;TBA/8;;ULPRPH01;UHT A;Mec;03/01/2019;03/01/2019;;correctif planifié
OT000012;clôturé;ELECTRIQUE;Préparation les nouveaux têtes scellage;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;02/01/2019 10:00;ULPRPS02;BOUTEILLE;;02/01/2019;02/01/2019;;correctif planifié
OT000015;en cours INV;DT/YC (Réparation transpalette TC14);;ULPRDV0103;TRANSPALETTE TC14- Hors service;;ULPRDV01;TRANSPALETTE;Mec;01/01/2019;01/01/2019;;correctif planifié
OT000021;en cours INV;Fuite au niveau circuit acide;;ULPRPT0101;STATION DOSAGE SOUDE ET ACIDE CONCENTRE;;ULPRPT01;NEP;ALIM;02/01/2019;03/01/2019;;correctif planifié
OT000023;clôturé;élec*;;PFC105;Posimat A;02/01/2019 14:28;PFC1;conditionnement 1;Mec;02/01/2019;02/01/2019;;correctif non planifié
OT000031;en cours INV;Changement bande a vise;;ULUTEG0106;circuit eau glacé;;ULUTEG01;PRODUCTION EAU GLACCE;Mec;02/01/2019;03/01/2019;;correctif planifié
OT000064;clôturé;PROD;;PFC109;Sleever B (10000853-417);03/01/2019 10:19;PFC1;conditionnement 1;Mec;03/01/2019;03/01/2019;;correctif planifié
OT001340;en cours de validati;DT/WISSEM;;PAV004024;Chariot n°23;31/12/2019 11:09;PAV004;Chariots Elevateurs;MEC;31/12/2018;31/12/2018;;correctif planifié
OT003799;clôturé;DT/MEJDI;réparation éclairage au niveau atelier UHT;ULPRPH0608;ECLAIRAGE;03/01/2019 08:01;ULPRPH06;DIVERS UHT;Elec;03/01/2019;03/01/2019;;correctif planifié
OT003801;en cours INV;DIVERS;divers intervention;ULPRPH0607;DIVERS EQUIPEMENT;01/01/2019 08:35;ULPRPH06;DIVERS UHT;Mec;01/01/2019;31/01/2019;;correctif planifié
OT003803;clôturé;élec;;PFS102;Mimasa 2 (L-300 série 643);02/01/2019 14:22;PFS1;Suremballage;Mec;02/01/2019;02/01/2019;;correctif planifié
OT003804;en cours INV;DT/MHM;;ULPRPH0402;HOMO STEREDIAL;;ULPRPH04;UHT D;Mec;03/01/2019;03/01/2019;;correctif planifié
OT003806;en cours INV;DT/SADOK;;ULPRPH0407;HELIX;;ULPRPH04;UHT D;Mec;03/01/2019;03/01/2019;;correctif planifié
OT003808;clôturé;JOINTS ROUGE;changement les joints rouge;ULPRPH0607;DIVERS EQUIPEMENT;01/01/2019 08:34;ULPRPH06;DIVERS UHT;Mec;01/01/2019;31/01/2019;;correctif planifié
OT003810;clôturé;méc;;PFC101;ERCA 1 (EF320L série 39306);03/01/2019 13:00;PFC1;conditionnement 1;Mec;04/01/2019;04/01/2019;;correctif non planifié
OT003849;clôturé;élec;;PFS101;Mimasa 1 (L-300 série 446);02/01/2019 14:24;PFS1;Suremballage;Mec;02/01/2019;02/01/2019;;correctif planifié
OT003876;clôturé;élec;;PFC102;ERCA 2 (EF320L série 34407);02/01/2019 14:25;PFC1;conditionnement 1;Mec;02/01/2019;02/01/2019;;correctif non planifié
OT003879;clôturé;ENERGETIQUE;Fuite purgeur vapeur==+>changement le purgeur;ULPRPS0201;PRESTE;03/01/2019 13:00;ULPRPS02;BOUTEILLE;Mec;03/01/2019;03/01/2019;;correctif planifié
OT004675;clôturé;prod;changement lame;PFC109;Sleever B (10000853-417);05/01/2019 10:19;PFC1;conditionnement 1;Mec;05/01/2019;05/01/2019;;correctif planifié
OT004754;en cours INV;DT/YASSINE (Fuite huile au niveaux plongeurs);;ULPRPH0302;HOMO STEREDIAL;;ULPRPH03;UHT C;Mec;05/01/2019;05/01/2019;;correctif non planifié
OT004786;clôturé;élec*;;PFS102;Mimasa 2 (L-300 série 643);08/01/2019 14:29;PFS1;Suremballage;Mec;08/01/2019;08/01/2019;;correctif planifié
OT004787;clôturé;élec*(farouk);;PFP100;Divers Process 1;18/01/2019 08:06;PFP1;Traitement 1 (Process 1);;08/01/2019;08/01/2019;;correctif planifié
OT004788;clôturé;méc;;PFC206;Galdi RG250;08/01/2019 08:09;PFC2;Conditionnement 2;;08/01/2019;08/01/2019;;correctif planifié
OT004789;clôturé;élec*;;PFC102;ERCA 2 (EF320L série 34407);08/01/2019 14:32;PFC1;conditionnement 1;Mec;08/01/2019;08/01/2019;;correctif planifié
OT004790;clôturé;élec*;;PFS110;Chariot porte bobine;08/01/2019 14:33;PFS1;Suremballage;Elec;08/01/2019;08/01/2019;;correctif planifié
OT004791;clôturé;méc*;;PFD009;Vestiaire ouvriers;08/01/2019 08:19;PFD0;Divers;;08/01/2019;08/01/2019;;correctif planifié
OT004792;clôturé;méc*;;PFP20101;Liquiverter;08/01/2019 08:20;PFP201;Poudrage 3;;08/01/2019;08/01/2019;;correctif planifié
OT004793;clôturé;méc;;PFC106;Sleever A (03/07-0281);06/01/2019 10:34;PFC1;conditionnement 1;Mec;04/01/2019;04/01/2019;;correctif planifié
OT004794;clôturé;élec+méc;;PFC103;ERCA 3 (EF320L série 37212);06/01/2019 07:59;PFC1;conditionnement 1;Mec;04/01/2019;04/01/2019;;correctif planifié
OT004795;clôturé;méc;;PFC203;ERCA dessert 2 (MF14 série 26016);06/01/2019 16:44;PFC2;Conditionnement 2;;04/01/2019;04/01/2019;;correctif planifié
OT004796;clôturé;élec*;;PFC102;ERCA 2 (EF320L série 34407);04/01/2019 14:35;PFC1;conditionnement 1;Mec;04/01/2019;04/01/2019;;correctif planifié
OT004797;clôturé;méc;;PFC201;ERCA dessert 1 (MF14 série 29313);04/01/2019 08:10;PFC2;Conditionnement 2;;04/01/2019;04/01/2019;;correctif planifié
OT004798;clôturé;méc;;PFC205;ERCA Pate Fraiche (MF7 série 29413);02/01/2019 18:34;PFC2;Conditionnement 2;;02/01/2019;02/01/2019;;correctif planifié
OT004805;clôturé;élec*;;PFC206;Galdi RG250;02/01/2019 14:36;PFC2;Conditionnement 2;;02/01/2019;02/01/2019;;correctif planifié
OT004806;clôturé;méc*;;PFC203;ERCA dessert 2 (MF14 série 26016);03/01/2019 08:21;PFC2;Conditionnement 2;;03/01/2019;03/01/2019;;correctif planifié
OT004817;clôturé;élec*;;PFC201;ERCA dessert 1 (MF14 série 29313);04/01/2019 14:40;PFC2;Conditionnement 2;;04/01/2019;05/01/2019;;correctif planifié
OT004822;clôturé;méc*;;PFC201;ERCA dessert 1 (MF14 série 29313);06/01/2019 08:22;PFC2;Conditionnement 2;;06/01/2019;06/01/2019;;correctif planifié
OT004825;clôturé;élec*;;PFC101;ERCA 1 (EF320L série 39306);05/01/2019 14:40;PFC1;conditionnement 1;Mec;05/01/2019;05/01/2019;;correctif planifié
OT004829;clôturé;méc*;;PFC201;ERCA dessert 1 (MF14 série 29313);05/01/2019 08:23;PFC2;Conditionnement 2;;05/01/2019;05/01/2019;;correctif planifié
OT004830;clôturé;méc;;PFC104;Serac A (DmxR12T12/540 série M06-OF64);06/01/2019 03:30;PFC1;conditionnement 1;Mec;06/01/2019;06/01/2019;;correctif planifié
OT004833;clôturé;méc;;PFS101;Mimasa 1 (L-300 série 446);06/01/2019 23:00;PFS1;Suremballage;Mec;06/01/2019;06/01/2019;;correctif planifié
