Ordre de travail;Staut Ordre de travail;Equipment;Noeud Parent;Classification Equipement;Date début;Type OT
OT000001;clôturé;GCULZ201;GCULZ2;MECANIQUE;2019-01-03;correctif planifié
OT000002;clôturé;GCULZ103;GCULZ1;MECANIQUE;2019-01-02;correctif planifié
OT000003;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-03;correctif planifié
OT000011;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-03;correctif planifié
OT000015;en cours INV;ULPRDV0103;ULPRDV01;MECANIQUE;2019-01-01;correctif planifié
OT000023;clôturé;PFC105;PFC1;MECANIQUE;2019-01-02;correctif non planifié
OT000031;en cours INV;ULUTEG0106;ULUTEG01;MECANIQUE;2019-01-02;correctif planifié
OT000064;clôturé;PFC109;PFC1;MECANIQUE;2019-01-03;correctif planifié
OT003801;en cours INV;ULPRPH0607;ULPRPH06;MECANIQUE;2019-01-01;correctif planifié
OT003803;clôturé;PFS102;PFS1;MECANIQUE;2019-01-02;correctif planifié
OT003804;en cours INV;ULPRPH0402;ULPRPH04;MECANIQUE;2019-01-03;correctif planifié
OT003806;en cours INV;ULPRPH0407;ULPRPH04;MECANIQUE;2019-01-03;correctif planifié
OT003808;clôturé;ULPRPH0607;ULPRPH06;MECANIQUE;2019-01-01;correctif planifié
OT003810;clôturé;PFC101;PFC1;MECANIQUE;2019-01-04;correctif non planifié
OT003849;clôturé;PFS101;PFS1;MECANIQUE;2019-01-02;correctif planifié
OT003876;clôturé;PFC102;PFC1;MECANIQUE;2019-01-02;correctif non planifié
OT003879;clôturé;ULPRPS0201;ULPRPS02;MECANIQUE;2019-01-03;correctif planifié
OT004675;clôturé;PFC109;PFC1;MECANIQUE;2019-01-05;correctif planifié
OT004754;en cours INV;ULPRPH0302;ULPRPH03;MECANIQUE;2019-01-05;correctif non planifié
OT004786;clôturé;PFS102;PFS1;MECANIQUE;2019-01-08;correctif planifié
OT004789;clôturé;PFC102;PFC1;MECANIQUE;2019-01-08;correctif planifié
OT004793;clôturé;PFC106;PFC1;MECANIQUE;2019-01-04;correctif planifié
OT004794;clôturé;PFC103;PFC1;MECANIQUE;2019-01-04;correctif planifié
OT004796;clôturé;PFC102;PFC1;MECANIQUE;2019-01-04;correctif planifié
OT004825;clôturé;PFC101;PFC1;MECANIQUE;2019-01-05;correctif planifié
OT004830;clôturé;PFC104;PFC1;MECANIQUE;2019-01-06;correctif planifié
OT004833;clôturé;PFS101;PFS1;MECANIQUE;2019-01-06;correctif planifié
OT004836;clôturé;PFC103;PFC1;MECANIQUE;2019-01-06;correctif planifié
OT004838;clôturé;PFC101;PFC1;MECANIQUE;2019-01-08;correctif planifié
OT004839;en cours de validati;PAV00212;PAV002;MECANIQUE;2019-01-08;correctif planifié
OT004852;clôturé;PFC104;PFC1;MECANIQUE;2019-01-08;correctif planifié
OT004860;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-06;correctif non planifié
OT004863;en cours INV;ULPRPH0102;ULPRPH01;MECANIQUE;2019-01-05;correctif non planifié
OT004871;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-05;correctif planifié
OT004875;en cours INV;ULPRPH0102;ULPRPH01;MECANIQUE;2019-01-06;correctif non planifié
OT004877;en cours INV;ULPRPH0102;ULPRPH01;MECANIQUE;2019-01-07;correctif planifié
OT004879;clôturé;PFC101;PFC1;MECANIQUE;2019-01-07;correctif planifié
OT004880;en cours INV;ULPRPH020504;ULPRPH0205;MECANIQUE;2019-01-07;correctif non planifié
OT004881;clôturé;ULPRPS0202;ULPRPS02;MECANIQUE;2019-01-07;correctif non planifié
OT004958;clôturé;PAV203;PAV2;MECANIQUE;2019-01-08;correctif planifié
OT004963;en cours INV;ULUTTE0101;ULUTTE01;MECANIQUE;2019-01-05;correctif planifié
OT005042;clôturé;PAV004021;PAV004;MECANIQUE;2019-01-03;correctif planifié
OT005054;clôturé;PAV00102;pav001;MECANIQUE;2019-01-05;correctif planifié
OT005067;en cours INV;ULPRDV0104;ULPRDV01;MECANIQUE;2019-01-08;correctif planifié
OT005068;clôturé;GCULZ103;GCULZ1;MECANIQUE;2019-01-09;correctif planifié
OT005127;en cours INV;ULPRPH0102;ULPRPH01;MECANIQUE;2019-01-08;correctif non planifié
OT005128;clôturé;PFC106;PFC1;MECANIQUE;2019-01-08;correctif non planifié
OT005129;en cours INV;ULUTTE010502;ULUTTE0105;MECANIQUE;2019-01-07;correctif non planifié
OT005131;clôturé;PFC104;PFC1;MECANIQUE;2019-01-08;correctif planifié
OT005132;clôturé;PFC104;PFC1;MECANIQUE;2019-01-08;correctif non planifié
OT005133;en cours INV;ULPRPH0401;ULPRPH04;MECANIQUE;2019-01-08;correctif planifié
OT005162;clôturé;GCULZ300;GCULZ3;MECANIQUE;2019-01-09;correctif planifié
